link,name,genre,director,year,appearance
https://kinobar.vip/24583-mariya.html,Мария. Спасти Москву,"Драмы, Военный, Новинки кино, Российское кино, Фильмы 2021",Вера Сторожева,2021,6 февраля 2022
https://kinobar.vip/23206-letchik-v1.html,Летчик,"Фильмы 2021, Драмы, Военный, Новинки кино, Российское кино",Ренат Давлетьяров,2021,28 декабря 2021
https://kinobar.vip/24578-nuli-i-edinicy.html,Нули и единицы,"Фильмы 2021, Триллеры, Военный, Новинки кино",Абель Феррара,2021,10 декабря 2021
https://kinobar.vip/24670-osnovanie-osman-3-sezon-1-seriya.html,Основание: Осман 3 сезон 1-16 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2021,5 февраля 2022
https://kinobar.vip/25732-uchenosti-plody-1-sezon-1-seriya.html,Учености плоды 1 сезон 1 серия,"Сериалы, Драмы, Военный",Игорь Угольников,2021,4 февраля 2022
https://kinobar.vip/2215-bauyrzhan-momyshly-v1.html,"Бауыржан Момышұлы 1,2,3,4 серия","Сериалы, Драмы, Военный, Сериалы с Каз.ТВ",Акан Сатаев,2013,13 января 2016
https://kinobar.vip/7382-k1257k-tarlandary-2-mausym-v1.html,Көк тарландары 2 сезон 11 серия,"Сериалы, Драмы, Военный, Сериалы с Каз.ТВ",Ержан Рустембеков,2014,20 мая 2015
https://kinobar.vip/25372-alp-arslan-velikiy-seldzhuk-1-sezon.html,Алп-Арслан: Великий Сельджук 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Sedat Inci,2021,20 декабря 2021
https://kinobar.vip/25261-legenda-1-sezon.html,Легенда 1 сезон,"Сериалы, Боевики, Военный, История, Турецкие сериалы",Эмир Кхалильзаде,2021,8 декабря 2021
https://kinobar.vip/25190-probuzhdenie-velikie-seldzhuki-1-sezon-1-34-seriya.html,Пробуждение: Великие Сельджуки 1 сезон 1-34 серия,"Сериалы, Драмы, Биография, Военный, История, Турецкие сериалы","Sedat Inci, Эмре Конук",2020,1 декабря 2021
https://kinobar.vip/24837-bratya-barbarossa-1-sezon.html,Братья Барбаросса 1 сезон,"Сериалы, Боевики, Приключения, Военный, История, Турецкие сериалы","Адель Адиб, Доган Юмит Караджа",2021,25 октября 2021
https://kinobar.vip/22083-osnovanie-osman-2-sezon-1-seriya-v2.html,Основание: Осман 2 сезон 1-37 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам, Метин Гюнай, Ахмет Йильмаз",2020,25 июня 2021
https://kinobar.vip/19324-osnovanie-osman-1-sezon-12-seriya-v10-v2.html,Основание Осман 1 сезон 1-27 серия,"Сериалы, Драмы, Боевики, Приключения, Военный, История, Турецкие сериалы","Фетхи Байрам,Метин Гюнай,Ахмет Йильмаз",2019,26 июня 2020
https://kinobar.vip/24513-vikingi-valhalla-1-sezon.html,Викинги: Вальхалла 1 сезон,"Сериалы, Мелодрамы, Драмы, Боевики, Военный, История","Стивен Ст. Леджер, Ханна Куинн, Нильс Арден Оплев",2021,18 января 2022
https://kinobar.vip/25708-volk-2039-1-sezon-1-3-seriya.html,Волк 2039 1 сезон 1-3 серия,"Сериалы, Боевики, Триллеры, Фантастика, Военный, Турецкие сериалы","Can Emre, Ахмет Аталай, Джем Озёдуру",2021,1 февраля 2022
https://kinobar.vip/25287-halo-1-sezon.html,Halo 1 сезон,"Сериалы, Боевики, Приключения, Триллеры, Фантастика, Военный","Джонатан Либесман, Отто Батхёрст, Роэль Рейн",2018,12 декабря 2021
https://kinobar.vip/3528-neslomleennyy-v5.html,Несломленный,"Драмы, Боевики, Биография, Военный, История, Спорт, Фильмы 2014, Фильмы, основанные на реальных событиях",Анджелина Джоли,2014,13 октября 2021
https://kinobar.vip/24116-sher-shah.html,Шер-Шах,"Фильмы 2021, Боевики, Биография, Военный, История",Вишувардхан,2021,16 августа 2021
